unit_id,property_id,property_name,unit_type,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,area_min_sqft,area_max_sqft,price_min,price_max,currency,payment_plan,down_payment,installment_years,availability_status,price_status,price_source,last_verified,confidence_score
feb7dd4b_0ad1_e811_a2b8_00155d119707_inventory,feb7dd4b_0ad1_e811_a2b8_00155d119707,Al Durra,Commercial,1,3,unknown,unknown,unknown,unknown,26400,26400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Durra&pageNumber=1&pageSize=100,2026-06-24,0.80
b0b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,b0b8dd4b_0ad1_e811_a2b8_00155d119707,Al Fazzan,Commercial,1,3,unknown,unknown,unknown,unknown,44000,44000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Fazzan&pageNumber=1&pageSize=100,2026-06-24,0.80
f4502104_adbf_ec11_a2bf_00155d119927_inventory,f4502104_adbf_ec11_a2bf_00155d119927,Al Gharoub,Leasing,1,3,unknown,unknown,unknown,unknown,28000,28000,AED,Up to 6 Installments,unknown,up to 6 installments,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Gharoub&pageNumber=1&pageSize=100,2026-06-24,0.86
5b5d5569_83e3_ef11_a2ce_00155d119747_inventory,5b5d5569_83e3_ef11_a2ce_00155d119747,Al Helio Villas,Villa,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Helio%20Villas&pageNumber=1&pageSize=100,2026-06-24,0.60
2cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,2cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Show Rooms,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Show%20Rooms&pageNumber=1&pageSize=100,2026-06-24,0.60
76b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,76b8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Villa 1,Villa,unknown,unknown,unknown,unknown,unknown,unknown,108000,108000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%201&pageNumber=1&pageSize=100,2026-06-24,0.72
78b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,78b8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Villa 2,Villa,unknown,unknown,unknown,unknown,unknown,unknown,45000,45000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%202&pageNumber=1&pageSize=100,2026-06-24,0.72
e8b7dd4b_0ad1_e811_a2b8_00155d119707_inventory,e8b7dd4b_0ad1_e811_a2b8_00155d119707,Al Itihad,Leasing,1,3,unknown,unknown,unknown,unknown,33000,33000,AED,Up to 6 Installments,unknown,up to 6 installments,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Itihad&pageNumber=1&pageSize=100,2026-06-24,0.86
a6b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,a6b8dd4b_0ad1_e811_a2b8_00155d119707,Al Johara,Commercial,1,3,unknown,unknown,unknown,unknown,20400,20400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Johara&pageNumber=1&pageSize=100,2026-06-24,0.80
24b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,24b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 1,Commercial,1,3,unknown,unknown,unknown,unknown,20000,20000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%201&pageNumber=1&pageSize=100,2026-06-24,0.80
