audit_id,entity_id,field_name,field_value,source_url,evidence_snippet,extraction_date,confidence_score
AUD-000030,118140007,amenity_name,ATM Facility,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140007 | amenity_name: ATM Facility | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000031,118140007,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140007 | amenity_name: ATM Facility | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000032,118140007,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140007 | amenity_name: ATM Facility | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000033,118140008,amenity_id,118140008,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000034,118140008,amenity_name,Covered Parking,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000035,118140008,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000036,118140008,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000037,118140009,amenity_id,118140009,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140009 | amenity_name: Facilities for Disabled | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000038,118140009,amenity_name,Facilities for Disabled,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140009 | amenity_name: Facilities for Disabled | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000039,118140009,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140009 | amenity_name: Facilities for Disabled | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000040,118140009,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140009 | amenity_name: Facilities for Disabled | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000041,118140010,amenity_id,118140010,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140010 | amenity_name: Security Staff | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000042,118140010,amenity_name,Security Staff,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140010 | amenity_name: Security Staff | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000043,118140010,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140010 | amenity_name: Security Staff | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000044,118140010,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140010 | amenity_name: Security Staff | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000045,118140011,amenity_id,118140011,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140011 | amenity_name: Free Maintenance | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000046,118140011,amenity_name,Free Maintenance,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140011 | amenity_name: Free Maintenance | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000047,118140011,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140011 | amenity_name: Free Maintenance | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000048,118140011,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140011 | amenity_name: Free Maintenance | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000049,118140012,amenity_id,118140012,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140012 | amenity_name: Waste Disposal | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000050,118140012,amenity_name,Waste Disposal,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140012 | amenity_name: Waste Disposal | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000051,118140012,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140012 | amenity_name: Waste Disposal | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000052,118140012,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140012 | amenity_name: Waste Disposal | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000053,dusit_kids_club,amenity_id,dusit_kids_club,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_kids_club | amenity_name: Kids Club | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000054,dusit_kids_club,amenity_name,Kids Club,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_kids_club | amenity_name: Kids Club | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000055,dusit_kids_club,source_url,assets/Dusit-Thani-Brochure.pdf#page=25,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_kids_club | amenity_name: Kids Club | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000056,dusit_kids_club,last_verified,2026-06-24,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_kids_club | amenity_name: Kids Club | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000057,dusit_gym_yoga_treatment_salon,amenity_id,dusit_gym_yoga_treatment_salon,assets/Dusit-Thani-Brochure.pdf#page=25,"amenity_id: dusit_gym_yoga_treatment_salon | amenity_name: Gym, Yoga & Treatment Salon | last_verified: 2026-06-24",2026-06-24,0.98
AUD-000058,dusit_gym_yoga_treatment_salon,amenity_name,"Gym, Yoga & Treatment Salon",assets/Dusit-Thani-Brochure.pdf#page=25,"amenity_id: dusit_gym_yoga_treatment_salon | amenity_name: Gym, Yoga & Treatment Salon | last_verified: 2026-06-24",2026-06-24,0.98
AUD-000059,dusit_gym_yoga_treatment_salon,source_url,assets/Dusit-Thani-Brochure.pdf#page=25,assets/Dusit-Thani-Brochure.pdf#page=25,"amenity_id: dusit_gym_yoga_treatment_salon | amenity_name: Gym, Yoga & Treatment Salon | last_verified: 2026-06-24",2026-06-24,0.98
AUD-000060,dusit_gym_yoga_treatment_salon,last_verified,2026-06-24,assets/Dusit-Thani-Brochure.pdf#page=25,"amenity_id: dusit_gym_yoga_treatment_salon | amenity_name: Gym, Yoga & Treatment Salon | last_verified: 2026-06-24",2026-06-24,0.98
AUD-000061,dusit_cafe_lounge,amenity_id,dusit_cafe_lounge,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_cafe_lounge | amenity_name: Cafe Lounge | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000062,dusit_cafe_lounge,amenity_name,Cafe Lounge,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_cafe_lounge | amenity_name: Cafe Lounge | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000063,dusit_cafe_lounge,source_url,assets/Dusit-Thani-Brochure.pdf#page=25,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_cafe_lounge | amenity_name: Cafe Lounge | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000064,dusit_cafe_lounge,last_verified,2026-06-24,assets/Dusit-Thani-Brochure.pdf#page=25,amenity_id: dusit_cafe_lounge | amenity_name: Cafe Lounge | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000065,dusit_private_balconies,amenity_id,dusit_private_balconies,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_private_balconies | amenity_name: Private Balconies | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000066,dusit_private_balconies,amenity_name,Private Balconies,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_private_balconies | amenity_name: Private Balconies | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000067,dusit_private_balconies,source_url,assets/Dusit-Thani-Brochure.pdf#page=8,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_private_balconies | amenity_name: Private Balconies | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000068,dusit_private_balconies,last_verified,2026-06-24,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_private_balconies | amenity_name: Private Balconies | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000069,dusit_resident_parking,amenity_id,dusit_resident_parking,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_resident_parking | amenity_name: Resident Parking | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000070,dusit_resident_parking,amenity_name,Resident Parking,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_resident_parking | amenity_name: Resident Parking | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000071,dusit_resident_parking,source_url,assets/Dusit-Thani-Brochure.pdf#page=8,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_resident_parking | amenity_name: Resident Parking | last_verified: 2026-06-24,2026-06-24,0.98
AUD-000072,dusit_resident_parking,last_verified,2026-06-24,assets/Dusit-Thani-Brochure.pdf#page=8,amenity_id: dusit_resident_parking | amenity_name: Resident Parking | last_verified: 2026-06-24,2026-06-24,0.98
