property_id,location_name,city,district,community,nearest_landmark,nearest_mall,nearest_school,nearest_hospital,nearest_beach,nearest_airport,nearest_highway,latitude,longitude,source_url,last_verified,confidence_score
2cb8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.3938317,55.4798069,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Show%20Rooms&pageNumber=1&pageSize=100,2026-06-24,0.60
76b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%201&pageNumber=1&pageSize=100,2026-06-24,0.72
78b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%202&pageNumber=1&pageSize=100,2026-06-24,0.72
e8b7dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.417218941038513,55.44006501539404,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Itihad&pageNumber=1&pageSize=100,2026-06-24,0.86
a6b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Johara&pageNumber=1&pageSize=100,2026-06-24,0.80
24b8dd4b_0ad1_e811_a2b8_00155d119707,Jurf 1,Ajman,Jurf 1,Jurf 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4131318,55.5012232,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%201&pageNumber=1&pageSize=100,2026-06-24,0.80
26b8dd4b_0ad1_e811_a2b8_00155d119707,Jurf 2,Ajman,Jurf 2,Jurf 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4140059,55.5002784,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%202&pageNumber=1&pageSize=100,2026-06-24,0.80
22b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4093676,55.5100175,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%203&pageNumber=1&pageSize=100,2026-06-24,0.80
82b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Buildings%2020%20%2F%20A7%20(Labor%20City)&pageNumber=1&pageSize=100,2026-06-24,0.60
80b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Buildings%2020%20%2F%20B7%20(Labor%20City)&pageNumber=1&pageSize=100,2026-06-24,0.60
2ab8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.413829,55.501294,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Complex&pageNumber=1&pageSize=100,2026-06-24,0.80
20b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.3997531,55.4827739,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Residential%20Villas&pageNumber=1&pageSize=100,2026-06-24,0.72
a2b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4138075,55.5031374,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%201&pageNumber=1&pageSize=100,2026-06-24,0.68
a4b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4138075,55.5031374,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Show%20Room%202&pageNumber=1&pageSize=100,2026-06-24,0.68
1cb8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4126132,55.4998699,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas&pageNumber=1&pageSize=100,2026-06-24,0.72
1eb8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4131126,55.5014878,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas%202&pageNumber=1&pageSize=100,2026-06-24,0.72
8aed16b5_4982_ec11_a2bf_00155d119927,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.413259,55.439114,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Karama&pageNumber=1&pageSize=100,2026-06-24,0.80
44b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4004574,55.4500998,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Khor%20Villas%20%26%20Shops&pageNumber=1&pageSize=100,2026-06-24,0.80
9cb8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.405225,55.441095,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Madina%20Tower&pageNumber=1&pageSize=100,2026-06-24,0.80
7cb8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.32380,56.007789,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Buildings&pageNumber=1&pageSize=100,2026-06-24,0.80
74b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.3222866,56.0055886,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Farm&pageNumber=1&pageSize=100,2026-06-24,0.60
52cf79ec_eb47_ea11_a2bc_00155d119619,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.3222866,56.0055886,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Land&pageNumber=1&pageSize=100,2026-06-24,0.60
