property_id,project_id,property_name,developer,listing_url,property_type,sub_type,bedrooms,bathrooms,bua,plot_size,price,currency,ownership_type,status,source_url,last_verified
property_08b8dd4b_0ad1_e811_a2b8_00155d119707,08b8dd4b_0ad1_e811_a2b8_00155d119707,Al Bustan Shops,Aqaar,https://www.aqaar.com/projects/08b8dd4b-0ad1-e811-a2b8-00155d119707,commercial,commercial,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Bustan%20Shops&pageNumber=1&pageSize=100,2026-06-24
property_e6b7dd4b_0ad1_e811_a2b8_00155d119707,e6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Dana,Aqaar,https://www.aqaar.com/projects/e6b7dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,14400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Dana&pageNumber=1&pageSize=100,2026-06-24
property_feb7dd4b_0ad1_e811_a2b8_00155d119707,feb7dd4b_0ad1_e811_a2b8_00155d119707,Al Durra,Aqaar,https://www.aqaar.com/projects/feb7dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,26400,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Durra&pageNumber=1&pageSize=100,2026-06-24
property_b0b8dd4b_0ad1_e811_a2b8_00155d119707,b0b8dd4b_0ad1_e811_a2b8_00155d119707,Al Fazzan,Aqaar,https://www.aqaar.com/projects/b0b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,44000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Fazzan&pageNumber=1&pageSize=100,2026-06-24
property_f4502104_adbf_ec11_a2bf_00155d119927,f4502104_adbf_ec11_a2bf_00155d119927,Al Gharoub,Aqaar,https://www.aqaar.com/projects/f4502104-adbf-ec11-a2bf-00155d119927,residential,Leasing,unknown,unknown,unknown,unknown,28000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Gharoub&pageNumber=1&pageSize=100,2026-06-24
property_5b5d5569_83e3_ef11_a2ce_00155d119747,5b5d5569_83e3_ef11_a2ce_00155d119747,Al Helio Villas,Aqaar,https://www.aqaar.com/projects/5b5d5569-83e3-ef11-a2ce-00155d119747,villa,villa,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Helio%20Villas&pageNumber=1&pageSize=100,2026-06-24
property_2cb8dd4b_0ad1_e811_a2b8_00155d119707,2cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Show Rooms,Aqaar,https://www.aqaar.com/projects/2cb8dd4b-0ad1-e811-a2b8-00155d119707,commercial,commercial,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Show%20Rooms&pageNumber=1&pageSize=100,2026-06-24
property_76b8dd4b_0ad1_e811_a2b8_00155d119707,76b8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Villa 1,Aqaar,https://www.aqaar.com/projects/76b8dd4b-0ad1-e811-a2b8-00155d119707,villa,villa,unknown,unknown,unknown,unknown,108000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%201&pageNumber=1&pageSize=100,2026-06-24
property_78b8dd4b_0ad1_e811_a2b8_00155d119707,78b8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Villa 2,Aqaar,https://www.aqaar.com/projects/78b8dd4b-0ad1-e811-a2b8-00155d119707,villa,villa,unknown,unknown,unknown,unknown,45000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%202&pageNumber=1&pageSize=100,2026-06-24
property_e8b7dd4b_0ad1_e811_a2b8_00155d119707,e8b7dd4b_0ad1_e811_a2b8_00155d119707,Al Itihad,Aqaar,https://www.aqaar.com/projects/e8b7dd4b-0ad1-e811-a2b8-00155d119707,residential,Leasing,unknown,unknown,unknown,unknown,33000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Itihad&pageNumber=1&pageSize=100,2026-06-24
