asset_id,asset_type,title,url,project,developer,source_page
project_image_f4b7dd4b_0ad1_e811_a2b8_00155d119707,image,Horizon Towers primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728453916/Aqaar/Main%20Portal/community/images/Horizon_Towers/Horizon%20Towers-1728453916.png,Horizon Towers,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Horizon%20Towers&pageNumber=1&pageSize=100
project_image_9ab8dd4b_0ad1_e811_a2b8_00155d119707,image,Lewara primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728300215/Aqaar/Main%20Portal/community/images/Lewara/_DSC1500-1728300215.jpg,Lewara,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Lewara&pageNumber=1&pageSize=100
project_image_4cb8dd4b_0ad1_e811_a2b8_00155d119707,image,Manama Flats primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728877571/Aqaar/Main%20Portal/community/images/Manama_Flats/WhatsApp%20Image%202024-10-11%20at%2011.04.30%20AM-1728877571.jpg,Manama Flats,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Manama%20Flats&pageNumber=1&pageSize=100
project_image_84b8dd4b_0ad1_e811_a2b8_00155d119707,image,Masfoot Buildings primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728623036/Aqaar/Main%20Portal/community/images/Masfoot_Buildings/MASFOOT%20B-1728623035.jpg,Masfoot Buildings,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Masfoot%20Buildings&pageNumber=1&pageSize=100
project_image_b514b2db_08f8_ea11_a2c5_00155d119619,image,Musherif Villas primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1755506938/Aqaar/Main%20Portal/community/images/Musherif_Villas/mv%20%281%29-1755506938.png,Musherif Villas,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Musherif%20Villas&pageNumber=1&pageSize=100
project_image_e9afbd0c_b405_ee11_a2bc_00155d119841,image,New Musherif Villas primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1781252697/Aqaar/Main%20Portal/community/images/New_Musherif_Villas/New%20Musherif%20Villas-1781252697.png,New Musherif Villas,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=New%20Musherif%20Villas&pageNumber=1&pageSize=100
project_image_f0b7dd4b_0ad1_e811_a2b8_00155d119707,image,Nuaiemiyah Towers primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728552890/Aqaar/Main%20Portal/community/images/Nuaiemiyah_Towers/_DSC1971-1728552890.jpg,Nuaiemiyah Towers,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Nuaiemiyah%20Towers&pageNumber=1&pageSize=100
project_image_0cb8dd4b_0ad1_e811_a2b8_00155d119707,image,Old Quds primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728553896/Aqaar/Main%20Portal/community/images/Old_Quds/_DSC1840-1728553896.jpg,Old Quds,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Old%20Quds&pageNumber=1&pageSize=100
project_image_bd8bd1e6_0420_e911_a2b8_00155d119707,image,Orient Towers primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727939561/Aqaar/Main%20Portal/community/images/Orient_Towers/orient%20skyline-1727939561.jpg,Orient Towers,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Orient%20Towers&pageNumber=1&pageSize=100
project_image_f2b7dd4b_0ad1_e811_a2b8_00155d119707,image,Rashidia Towers primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728454252/Aqaar/Main%20Portal/community/images/Rashidia_Towers/Rashidia%20Towers-1728454252.png,Rashidia Towers,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Rashidia%20Towers&pageNumber=1&pageSize=100
project_image_4ab8dd4b_0ad1_e811_a2b8_00155d119707,image,Traditional Houses - Al Manama primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728629297/Aqaar/Main%20Portal/community/images/Traditional_Houses_Al_Manama/WhatsApp%20Image%202024-10-11%20at%209.49.14%20AM%20%281%29-1728629297.png,Traditional Houses - Al Manama,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Traditional%20Houses%20-%20Al%20Manama&pageNumber=1&pageSize=100
